"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"Base experiment"
"02/24/2024 22:20:12:595 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","(mean) count turtles with [treated?]","(std) count turtles with [treated?]","(mean) count turtles with [infected?]","(std) count turtles with [infected?]","(mean) count turtles with [drugs?]","(std) count turtles with [drugs?]","(mean) count turtles with [known?]","(std) count turtles with [known?]","(mean) count turtles with [infected? and not known?]","(std) count turtles with [infected? and not known?]","(mean) count turtles with [gender = 1 and infected?]","(std) count turtles with [gender = 1 and infected?]","(mean) count turtles with [shape = ""person lefty"" and infected?]","(std) count turtles with [shape = ""person lefty"" and infected?]","(mean) count turtles with [shape = ""person righty"" and infected?]","(std) count turtles with [shape = ""person righty"" and infected?]","(mean) count turtles with [infected? and drugs?]","(std) count turtles with [infected? and drugs?]","(mean) count turtles with [gender = 1]","(std) count turtles with [gender = 1]","(mean) count turtles with [gender = 0]","(std) count turtles with [gender = 0]","(mean) count turtles with [shape = ""person lefty""]","(std) count turtles with [shape = ""person lefty""]","(mean) count turtles with [shape = ""person righty""]","(std) count turtles with [shape = ""person righty""]"
"3","1","1","4","5000","4","523","3650","1644.8","68.36841375957175","2587.2","105.73249264062585","63","0","2556.32","105.24171036238437","30.88","7.752780146502286","1166.04","40.93163080064121","588.64","32.46275404213265","832.52","47.552177657810795","34.52","3.817014540187134","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","4015","1861","75.42519472961273","2839.4","111.93891191181018","63","0","2818.28","111.15161537287705","21.12","6.1339709813464225","1287.48","42.245113326868946","646.44","32.54790930305663","905.48","48.7254512549653","37.56","3.7850231174987563","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","4380","2114.72","88.26755689379875","3077.96","111.40645582729934","63","0","3061.64","111.34195256056901","16.32","6.76886992045201","1406.84","46.76809168653347","703.48","32.48029556515765","967.64","47.338677632565954","40.32","3.133304964410582","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","4745","2390.32","97.71211593246765","3285.72","107.09828009823501","63","0","3271.84","107.96432003212912","13.88","4.245656604107308","1508.64","44.92115759861938","755.16","32.96019417418532","1021.92","46.03817546341297","43","2.925747767665559","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","5110","2634.96","106.86757412798327","3476.48","104.79012167184463","63","0","3465.2","104.93578989077082","11.28","4.431884475028653","1606.44","40.757899847759575","803.2","33.71409200912876","1066.84","46.49273491632859","45.2","2.9799328851502676","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","5475","2874.64","112.02888199031534","3643.2","103.74507217212778","63","0","3632.92","104.09761572677829","10.28","2.705845524046042","1693.64","43.463897662312796","846.72","32.587752300519284","1102.84","44.55709146701566","47.28","2.7058455240460417","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","5840","3112.16","113.16171790848705","3788.88","96.22944247993956","63","0","3780.48","96.86820737476253","8.4","2.870540018881465","1769.4","40.438595425657404","886.28","32.05560169455566","1133.2","43.81506590203877","48.8","2.7568097504180438","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","6205","3321.08","108.53604746811078","3916.68","93.06458832445345","63","0","3909.64","93.8180707539864","7.04","3.0394736386420593","1840.72","41.887964858656","919.56","31.557034081168023","1156.4","43.105452091353825","50.4","2.6683328128252666","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","6570","3502.36","102.59391015065174","4030.84","90.29670204387313","63","0","4024.84","91.16125492773782","6","2.513961017995307","1903.24","42.25283895787359","951.8","33.48432469081615","1175.8","41.47288270665544","51.48","2.4677114904299486","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","6935","3666.36","102.52721784970078","4125.6","85.40398117184","63","0","4119.68","85.544243523454","5.92","1.8312837027615356","1957.24","41.893464884155854","978.48","33.40433504801435","1189.88","39.58112681569336","52.6","2.6532998322843198","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
