"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"Base experiment"
"02/24/2024 21:34:05:382 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"9","3","1","1","4","5000","4","523","1095","314","906","63","533","373","426","197","283","17","2552","2448","1218","1230"
"16","3","1","1","4","5000","4","523","1095","309","908","63","541","367","444","183","281","16","2518","2482","1254","1228"
"15","3","1","1","4","5000","4","523","1095","294","961","63","520","441","426","222","313","19","2498","2502","1239","1263"
"13","3","1","1","4","5000","4","523","1095","324","955","63","574","381","428","218","309","18","2527","2473","1253","1220"
"8","3","1","1","4","5000","4","523","1095","323","934","63","586","348","427","198","309","12","2431","2569","1337","1232"
"7","3","1","1","4","5000","4","523","1095","313","943","63","539","404","417","222","304","16","2511","2489","1292","1197"
"3","3","1","1","4","5000","4","523","1095","304","1021","63","561","460","442","243","336","17","2506","2494","1214","1280"
"12","3","1","1","4","5000","4","523","1460","506","1118","63","865","253","507","252","359","18","2512","2488","1257","1231"
"11","3","1","1","4","5000","4","523","1460","502","1116","63","868","248","507","262","347","22","2551","2449","1247","1202"
"5","3","1","1","4","5000","4","523","1460","512","1188","63","886","302","519","265","404","18","2486","2514","1240","1274"
"2","3","1","1","4","5000","4","523","1460","504","1141","63","855","286","513","262","366","20","2526","2474","1260","1214"
"4","3","1","1","4","5000","4","523","1460","511","1098","63","857","241","494","261","343","18","2527","2473","1298","1175"
"14","3","1","1","4","5000","4","523","1460","503","1096","63","884","212","495","248","353","16","2517","2483","1268","1215"
"6","3","1","1","4","5000","4","523","1460","512","1171","63","874","297","515","263","393","21","2542","2458","1195","1263"
"10","3","1","1","4","5000","4","523","1460","518","1123","63","881","242","478","282","363","21","2455","2545","1284","1261"
"9","3","1","1","4","5000","4","523","1460","497","1054","63","823","231","490","233","331","18","2552","2448","1218","1230"
"16","3","1","1","4","5000","4","523","1460","499","1060","63","824","236","510","212","338","18","2518","2482","1254","1228"
"15","3","1","1","4","5000","4","523","1460","510","1137","63","850","287","502","260","375","21","2498","2502","1239","1263"
"13","3","1","1","4","5000","4","523","1460","503","1126","63","861","265","497","259","370","18","2527","2473","1253","1220"
