"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"coupling-tendency"
"02/28/2024 18:17:08:445 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","(mean) count turtles with [treated?]","(std) count turtles with [treated?]","(mean) count turtles with [infected?]","(std) count turtles with [infected?]","(mean) count turtles with [drugs?]","(std) count turtles with [drugs?]","(mean) count turtles with [known?]","(std) count turtles with [known?]","(mean) count turtles with [infected? and not known?]","(std) count turtles with [infected? and not known?]","(mean) count turtles with [gender = 1 and infected?]","(std) count turtles with [gender = 1 and infected?]","(mean) count turtles with [shape = ""person lefty"" and infected?]","(std) count turtles with [shape = ""person lefty"" and infected?]","(mean) count turtles with [shape = ""person righty"" and infected?]","(std) count turtles with [shape = ""person righty"" and infected?]","(mean) count turtles with [infected? and drugs?]","(std) count turtles with [infected? and drugs?]","(mean) count turtles with [gender = 1]","(std) count turtles with [gender = 1]","(mean) count turtles with [gender = 0]","(std) count turtles with [gender = 0]","(mean) count turtles with [shape = ""person lefty""]","(std) count turtles with [shape = ""person lefty""]","(mean) count turtles with [shape = ""person righty""]","(std) count turtles with [shape = ""person righty""]"
"2","0.1","1","4","5000","4","523","3650","1593.52","66.64300113290217","2520.92","102.3159498807493","63","0","2490.72","101.56988530071301","30.2","6.887670143089026","1137.56","44.86520255164351","568.2","27.617385828495788","815.16","42.68178065638781","34.08","4.335158589948008","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.48586984664708","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","4015","1804.6","77.1377987759568","2774.28","109.76393578949325","63","0","2752.36","109.82636477640514","21.92","5.090540246378571","1257.96","48.18338302776177","627.88","27.84","888.44","46.32932548613243","37.32","4.531842892245934","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.48586984664708","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","4380","2071.04","88.01249002272348","3002.92","112.91445257361877","63","0","2987.28","112.00732833167658","15.64","4.995037537396491","1366.88","50.08019169292386","682.12","27.828503373340077","953.92","47.62345640543114","39.84","4.295858470666835","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","4745","2323.72","98.47335477173509","3210.12","115.13203550706467","63","0","3197.92","115.27494784210485","12.2","3.249615361854384","1469.12","51.13067181252365","732.88","27.734916621471932","1008.12","49.45569330218715","41.96","4.386160051799296","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","5110","2561.28","103.91632018119196","3409","110.82598973165094","63","0","3398.64","111.41557521280407","10.36","3.005062395358873","1570.56","49.49592306443026","781.84","27.68057802864673","1056.6","48.24852329346464","44.28","4.1038518491777936","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","5475","2810.4","109.42650501592382","3580.16","108.90865163062114","63","0","3570.92","109.89191781018293","9.24","2.6575176386996944","1658.68","50.51076716899082","825.12","27.197529299552194","1096.36","45.37213241627508","46.52","3.7959978925178555","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","5840","3041.12","113.23085091970297","3731.04","100.6103294895708","63","0","3723.16","101.2966652955565","7.88","3.502227862375605","1738.12","46.97005003190863","864.6","27.839540226088502","1128.32","42.78665212423146","48.28","3.6934536683164163","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","6205","3243.36","115.32697169352883","3860.48","95.59126319910204","63","0","3854.08","96.46094339161317","6.4","2.3832750575625967","1806.76","45.72988519556987","899.84","25.582306385468844","1153.88","42.05075029057151","49.8","3.6110940170535573","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","6570","3436.64","109.46958664396246","3971.88","91.9509956444192","63","0","3966.32","92.71622080305042","5.56","2.2464193731358355","1867.32","46.245190020152364","930.4","25.975372952086754","1174.16","40.89565258068393","51.2","3.1240998703626617","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","6935","3606.84","108.52895650470433","4073.72","86.30203705591197","63","0","4068.16","87.26771682586866","5.56","2.6993332510084787","1925.88","41.86962622235837","958.76","26.312400118575273","1189.08","40.499797530358094","52.68","2.664132128855474","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","7300","3752.12","100.46385220565654","4161.88","80.19791518487247","63","0","4156.88","80.27967115029806","5","1.9798989873223332","1976.4","38.51752847730498","983.52","25.977097605390792","1201.96","38.460868424932904","53.92","2.2435685859808254","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","7665","3880","94.75273083135916","4235.72","76.16063024949307","63","0","4231.6","77.05011356253797","4.12","2.02622802270623","2018.8","37.30629973610355","1005.84","28.234277040505216","1211.08","38.201486882057345","54.72","2.1451340284467078","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","8030","3990.24","90.64889629774872","4307.88","73.65287231330493","63","0","4304.08","73.71345603076823","3.8","2.0199009876724157","2061.84","36.1968838437786","1027.56","27.64934718940033","1218.48","38.33861760679432","55.2","2.1908902300206643","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","8395","4088.68","84.94738136046338","4369.8","66.78023659736463","63","0","4366.24","67.11022574839097","3.56","1.8990523952750749","2099.12","33.37822044387627","1046.76","25.637909431152924","1223.92","37.70190446118073","55.76","2.083842604420977","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","8760","4175.4","79.84184366608775","4427.12","64.51066268455162","63","0","4423.4","64.58173116292254","3.72","1.8225257199831226","2133.84","32.8215538937449","1064.72","24.445073123228738","1228.56","37.27849782381259","56.44","2.1181123671797963","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","9125","4247.04","76.03340318570517","4478.36","63.49732592794756","63","0","4475.24","64.52489752025957","3.12","1.966112916391121","2164.08","33.29494856581099","1081.04","24.42372616944433","1233.24","36.44423685577735","56.96","2.199636333578803","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","9490","4318.88","72.88419307366996","4525","60.54287736802736","63","0","4522.36","61.34289200877312","2.64","1.3529227620230206","2193.04","32.568057970962904","1095.36","24.036439004145354","1236.6","35.63032416355484","57.52","2.041959842896035","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
