"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"drug-tendency"
"02/27/2024 18:25:17:705 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"16","3","0","1","4","5000","4","523","1095","309","921","0","539","382","409","209","303","0","2530","2470","1242","1228"
"4","3","0","1","4","5000","4","523","1095","309","925","0","545","380","421","192","312","0","2498","2502","1245","1257"
"1","3","0","1","4","5000","4","523","1095","322","957","0","571","386","430","219","308","0","2533","2467","1222","1245"
"9","3","0","1","4","5000","4","523","1095","314","941","0","568","373","423","204","314","0","2426","2574","1293","1281"
"10","3","0","1","4","5000","4","523","1095","306","973","0","562","411","428","219","326","0","2476","2524","1264","1260"
"5","3","0","1","4","5000","4","523","1095","311","944","0","524","420","430","212","302","0","2546","2454","1230","1224"
"2","3","0","1","4","5000","4","523","730","213","787","0","348","439","352","172","263","0","2510","2490","1235","1255"
"7","3","0","1","4","5000","4","523","1095","298","965","0","561","404","461","185","319","0","2550","2450","1196","1254"
"13","3","0","1","4","5000","4","523","1095","296","949","0","512","437","417","212","320","0","2398","2602","1318","1284"
"15","3","0","1","4","5000","4","523","1460","496","1107","0","827","280","509","250","348","0","2523","2477","1254","1223"
"6","3","0","1","4","5000","4","523","1460","498","1072","0","829","243","489","236","347","0","2500","2500","1269","1231"
"11","3","0","1","4","5000","4","523","1460","493","1134","0","842","292","527","235","372","0","2560","2440","1212","1228"
"12","3","0","1","4","5000","4","523","1460","483","1035","0","812","223","462","238","335","0","2531","2469","1273","1196"
"8","3","0","1","4","5000","4","523","1460","492","1106","0","850","256","493","243","370","0","2493","2507","1254","1253"
"3","3","0","1","4","5000","4","523","1460","493","1082","0","837","245","486","253","343","0","2464","2536","1274","1262"
"4","3","0","1","4","5000","4","523","1460","495","1093","0","840","253","496","232","365","0","2498","2502","1245","1257"
"14","3","0","1","4","5000","4","523","1460","489","1046","0","814","232","449","257","340","0","2498","2502","1249","1253"
"9","3","0","1","4","5000","4","523","1460","493","1093","0","838","255","490","236","367","0","2426","2574","1293","1281"
"16","3","0","1","4","5000","4","523","1460","495","1087","0","830","257","481","243","363","0","2530","2470","1242","1228"
"10","3","0","1","4","5000","4","523","1460","500","1148","0","864","284","505","262","381","0","2476","2524","1264","1260"
"1","3","0","1","4","5000","4","523","1460","496","1134","0","859","275","517","251","366","0","2533","2467","1222","1245"
"7","3","0","1","4","5000","4","523","1460","510","1108","0","867","241","533","209","366","0","2550","2450","1196","1254"
"2","3","0","1","4","5000","4","523","1095","302","944","0","534","410","417","211","316","0","2510","2490","1235","1255"
"5","3","0","1","4","5000","4","523","1460","493","1101","0","827","274","502","248","351","0","2546","2454","1230","1224"
"15","3","0","1","4","5000","4","523","1825","583","1338","0","1085","253","607","299","432","0","2523","2477","1254","1223"
"6","3","0","1","4","5000","4","523","1825","579","1298","0","1082","216","587","286","425","0","2500","2500","1269","1231"
"13","3","0","1","4","5000","4","523","1460","495","1114","0","840","274","495","243","376","0","2398","2602","1318","1284"
"12","3","0","1","4","5000","4","523","1825","575","1249","0","1058","191","564","283","402","0","2531","2469","1273","1196"
"3","3","0","1","4","5000","4","523","1825","575","1344","0","1140","204","604","303","437","0","2464","2536","1274","1262"
"11","3","0","1","4","5000","4","523","1825","589","1379","0","1128","251","641","279","459","0","2560","2440","1212","1228"
"4","3","0","1","4","5000","4","523","1825","572","1342","0","1117","225","615","285","442","0","2498","2502","1245","1257"
"8","3","0","1","4","5000","4","523","1825","582","1369","0","1126","243","625","293","451","0","2493","2507","1254","1253"
"9","3","0","1","4","5000","4","523","1825","576","1340","0","1114","226","611","288","441","0","2426","2574","1293","1281"
"10","3","0","1","4","5000","4","523","1825","590","1393","0","1153","240","621","321","451","0","2476","2524","1264","1260"
"14","3","0","1","4","5000","4","523","1825","560","1272","0","1071","201","551","305","416","0","2498","2502","1249","1253"
"16","3","0","1","4","5000","4","523","1825","576","1325","0","1106","219","588","299","438","0","2530","2470","1242","1228"
"1","3","0","1","4","5000","4","523","1825","595","1359","0","1156","203","605","296","458","0","2533","2467","1222","1245"
"15","3","0","1","4","5000","4","523","2190","794","1569","0","1431","138","702","351","516","0","2523","2477","1254","1223"
"7","3","0","1","4","5000","4","523","1825","581","1356","0","1116","240","657","259","440","0","2550","2450","1196","1254"
"2","3","0","1","4","5000","4","523","1460","490","1102","0","842","260","485","251","366","0","2510","2490","1235","1255"
"6","3","0","1","4","5000","4","523","2190","779","1535","0","1407","128","703","333","499","0","2500","2500","1269","1231"
"5","3","0","1","4","5000","4","523","1825","578","1340","0","1098","242","608","297","435","0","2546","2454","1230","1224"
"12","3","0","1","4","5000","4","523","2190","763","1484","0","1371","113","672","332","480","0","2531","2469","1273","1196"
"3","3","0","1","4","5000","4","523","2190","795","1563","0","1464","99","697","356","510","0","2464","2536","1274","1262"
"4","3","0","1","4","5000","4","523","2190","785","1563","0","1435","128","705","336","522","0","2498","2502","1245","1257"
"11","3","0","1","4","5000","4","523","2190","814","1621","0","1468","153","761","325","535","0","2560","2440","1212","1228"
"10","3","0","1","4","5000","4","523","2190","808","1630","0","1514","116","714","386","530","0","2476","2524","1264","1260"
"9","3","0","1","4","5000","4","523","2190","783","1586","0","1459","127","722","340","524","0","2426","2574","1293","1281"
"8","3","0","1","4","5000","4","523","2190","798","1599","0","1466","133","731","346","522","0","2493","2507","1254","1253"
"13","3","0","1","4","5000","4","523","1825","587","1362","0","1122","240","612","295","455","0","2398","2602","1318","1284"
